"Statistic Label","Year","Digital Service","Geographic Location","UNIT","VALUE"
"Household Expenditure on Digital Services","2020","Other Online Services","France","Euro Million","1"
"Household Expenditure on Digital Services","2020","Other Online Services","Germany","Euro Million","5"
"Household Expenditure on Digital Services","2020","Other Online Services","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Other Online Services","Malta","Euro Million",""
"Household Expenditure on Digital Services","2020","Other Online Services","Netherlands","Euro Million","2"
"Household Expenditure on Digital Services","2020","Other Online Services","United Kingdom","Euro Million","12"
"Household Expenditure on Digital Services","2020","Other Online Services","EMU19","Euro Million","19"
"Household Expenditure on Digital Services","2020","Other Online Services","EU27","Euro Million","20"
"Household Expenditure on Digital Services","2020","Other Online Services","North America","Euro Million","18"
"Household Expenditure on Digital Services","2020","Other Online Services","United States","Euro Million","17"
"Household Expenditure on Digital Services","2020","Other Online Services","Rest of the World","Euro Million","1"
"Household Expenditure on Digital Services","2020","Other Online Services","Not geographically allocated","Euro Million","2"
"Household Expenditure on Digital Services","2020","Other Online Services","All Countries","Euro Million","53"
